year,page,layout,dept_hint,name,is_total,pios,opening,received,total,transferred,replied,rej_s8,rej_s9,rej_s11,rej_s24,rej_other,rej_total,pending,charges_rs,fee_rs,penalty_rs,amount_total_rs,faas,fa_opening,fa_received,fa_total,fa_disposed,fa_rejected,fa_pending,disciplinary,chk_total,chk_disposal,key,canonical,tier
2015,56,W,Env & Forests,Arasu Rubber Corporation Limited,0,1,5,66,71,,49,,,,,7,,15,278,,,,1,,12,12,8,1,3,,1,1,arasu rubber,Arasu Rubber Corporation Limited,Body/Corporation
2015,56,W,Env & Forests,The Tamil Nadu Tea Plantation Corporation Limited,0,1,5,44,49,,48,,,,,,,1,33,,,,1,,2,2,2,,,,1,1,tea plantation,The Tamil Nadu Tea Plantation Corporation Limited,Body/Corporation
2015,56,W,Env & Forests,Env & Forests Total,1,52,49,3011,3060,190,2766,8,,,,9,,87,43480,,,,10,19,174,193,177,2,14,,1,1,env forests total,Env & Forests Total,HOD
2015,56,W,Finance,Finance,0,12,54,1042,1096,205,871,1,,,,,,19,12310,,,,9,2,65,67,64,2,1,,1,1,finance,Finance,HOD
2015,56,W,Finance,Treasuries and Accounts,0,50,11,1743,1754,67,1635,17,8,1,,8,,18,635,,,,13,,103,103,101,1,1,,1,1,treasuries accounts,Commissionerate of Treasuries and Accounts,HOD
2015,56,W,Finance,Co-operative Audit,0,36,8,195,203,7,173,,,1,,5,,17,16007,,,,8,2,39,41,39,,2,,1,1,co operative audit,Co-operative Audit Department,HOD
2015,56,W,Finance,Small Savings,0,32,,34,34,1,33,,,,,,,,,,,,32,,,,,,,,1,1,small savings,Small Savings,HOD
2015,56,W,Finance,Local Fund Audit,0,68,29,752,781,5,757,,,,,,,19,182,,,,9,,682,682,682,,,,1,1,local fund audit,Directorate of Local Fund Audit,HOD
2015,56,W,Finance,Internal Audit and Statutory Boards Audit,0,38,1,52,53,1,49,,,,,,,3,1010,,,,1,,3,3,3,,,,1,1,internal audit statutory boards audit,Internal Audit and Statutory Boards Audit,Body/Corporation
2015,56,W,Finance,Government Data Centre,0,1,,130,130,,130,,,,,,,,,,,,1,,5,5,5,,,,1,1,data centre,State Ground Water and Surface Water Resources Data Centre,HOD
2015,56,W,Finance,Pension,0,1,,716,716,110,547,,,,,,,59,,,,,1,,9,9,,,9,,1,1,pension,Directorate of Pension,HOD
2015,56,W,Finance,Finance Total,1,238,103,4664,4767,396,4195,18,8,2,,13,,135,30144,,,,74,4,906,910,894,3,13,,1,1,finance total,Finance Total,HOD
2015,56,W,Handlooms,"Handlooms, Handicrafts,",0,1,,70,70,54,16,,,,,,,,,,,,1,,8,8,8,,,,1,1,handlooms handicrafts textiles khadi secretariat,"Handlooms, Handicrafts, Textiles and Khadi Department, Secretariat",HOD
2015,57,W,Handlooms,"Textilesand Khadi, Secretariat Handlooms and Textiles",0,36,4,691,695,201,467,6,,,4,14,,3,792,,,,36,2,83,85,78,6,1,,1,1,handlooms textiles,Directorate of Handlooms and Textiles,Secretariat
2015,57,W,Handlooms,Sericulture,0,36,,94,94,8,63,13,2,,,5,,3,400,,,,36,,31,31,24,7,,,1,1,sericulture,Directorate of Sericulture,HOD
2015,57,W,Handlooms,Tamil Nadu Handicrafts Development Corporation,0,1,,8,8,8,,,,,,,,,,,,,1,,8,8,8,,,,1,,handicrafts development,Tamil Nadu Handicrafts Development Corporation,Body/Corporation
2015,57,W,Handlooms,Co-optex,0,12,,110,110,,106,2,,,,,,2,590,,,,12,,6,6,5,,1,,1,1,co optex,Co-optex,HOD
2015,57,W,Handlooms,Tamil Nadu Khadi Village Industries Board,0,27,4,91,95,,93,1,,,,,,1,,,,,17,,17,17,17,,,,1,1,khadi village industries board,Tamil Nadu Khadi Village Industries Board,Body/Corporation
2015,57,W,Handlooms,Tamil Nadu Palm Product Development Board,0,1,2,9,11,,11,,,,,,,,,,,,1,,,,,,,,1,1,palm product development board,Tamil Nadu Palm Product Development Board,Body/Corporation
2015,57,W,Handlooms,Handlooms Total,1,114,10,1073,1083,271,756,22,2,,4,19,,9,1782,,,,104,2,153,155,140,13,2,,1,1,handlooms total,Handlooms Total,HOD
2015,57,W,Health,"Health& Family Welfare Department, Secretariat",0,9,,659,659,364,238,1,,,,53,,3,,,,,5,,29,29,25,4,,,1,1,family welfare,"Health and Family Welfare Department, Secretariat",Secretariat
2015,57,W,Health,Medical Education,0,63,48,3579,3627,234,3161,205,,,,,,27,,,,,63,3,152,155,148,4,3,,1,1,director medical education,Director of Medical Education,HOD
2015,57,W,Health,Public Health and Preventive Medicine,0,43,,950,950,99,794,6,,,,51,,,2068,,,,43,,117,117,110,7,,,1,1,public health preventive medicine,Public Health and Preventive Medicine,HOD
2015,57,W,Health,Medical and Rural Health Services (ESI),0,14,,131,131,4,101,10,,,,14,,2,144,,,,13,,1,1,1,,,,1,1,medical rural health services esi,Directorate of Medical and Rural Health Services (ESI),HOD
2015,57,W,Health,Family Welfare,0,5,,41,41,7,33,,,,,,,1,,,,,2,,3,3,3,,,,1,1,family welfare,"Health and Family Welfare Department, Secretariat",HOD
