name_norm,years,n_rows,key,canonical,score
rural development panchayat raj,2015|2016|2017|2018|2020|2021|2022|2023,8,rural development panchayat raj secretariat,"Rural Development and Panchayat Raj Department, Secretariat",0.90
seed certification organic certification,2015|2016|2017|2018|2019|2020|2021|2022,8,seed certification organic certification,Directorate of Seed Certification and Organic Certification,1.00
state express transport,2015|2016|2017|2018|2019|2020|2021|2022,8,state express transport,"State Express Transport Corporation, Chennai",1.00
state health transport,2015|2016|2017|2018|2019|2020|2021|2022,8,state health transport,Tamil Nadu State Health Transport Department,1.00
state marketing,2015|2016|2017|2018|2019|2020|2021|2022,8,state marketing,Tamil Nadu State Marketing Corporation Limited,1.00
state minorities commission,2015|2016|2017|2018|2020|2021|2022|2023,8,state minorities commission,State Minorities Commission,1.00
state planning commission,2015|2016|2017|2018|2020|2021|2022|2023,8,state planning commission,State Planning Commission,1.00
state transport coimbatore,2015|2016|2017|2018|2019|2020|2021|2022,8,state transport coimbatore,"Tamil Nadu State Transport Corporation (Coimbatore) Ltd.,",1.00
state transport kumbakonam,2015|2016|2017|2018|2019|2020|2021|2022,8,state transport kumbakonam,"Tamil Nadu State Transport Corporation (Kumbakonam) Ltd.,",1.00
state transport madurai,2015|2016|2017|2018|2019|2020|2021|2022,8,state transport madurai,"Tamil Nadu State Transport Corporation (Madurai) Ltd.,",1.00
state transport salem,2015|2016|2017|2018|2019|2020|2021|2022,8,state transport salem,"Tamil Nadu State Transport Corporation (Salem), Ltd.,",1.00
state transport tirunelveli,2015|2016|2017|2018|2019|2020|2021|2022,8,state transport tirunelveli,"Tamil Nadu State Transport Corporation (Tirunelveli) Ltd.,",1.00
state transport villupuram,2015|2016|2017|2018|2019|2020|2021|2022,8,state transport villupuram,"Tamil Nadu State Transport Corporation (Villupuram) Ltd.,",1.00
survey settlement,2015|2016|2017|2018|2019|2020|2021|2022,8,survey settlement,Survey and Settlement,1.00
teachers education university,2015|2016|2017|2018|2020|2021|2022|2023,8,teachers education university,Tamil Nadu Teachers Education University,1.00
text book educational services,2015|2016|2017|2018|2020|2021|2022|2023,8,text book educational services,Tamil Nadu Text Book and Educational Services Corporation,1.00
tourism development,2015|2016|2017|2018|2020|2021|2022|2023,8,tourism development,Tamil Nadu Tourism Development Corporation,1.00
transport,2016|2017|2018|2019|2020|2021|2022|2023,8,metropolitan transport,"Metropolitan Transport Corporation (Chennai) Ltd.,",0.90
veterinary animal sciences university,2015|2016|2017|2018|2019|2020|2021|2022,8,veterinary animal sciences university,Tamil Nadu Veterinary and Animal Sciences University,1.00
adi dravidar housing development tahdco,2015|2016|2017|2018|2021|2022|2023,7,adi dravidar housing development tahdco,Tamil Nadu Adi Dravidar Housing and Development Corporation (TAHDCO),1.00
agriculture secretariat,2015|2016|2017|2018|2019|2020|2021,7,agriculture secretariat,"Agriculture Department, Secretariat",1.00
cauvery technical cell,2016|2017|2018|2020|2021|2022|2023,7,cauvery technical cell,Cauvery Technical Cell,1.00
co operation food consumer protection secretariat,2016|2017|2018|2020|2021|2022|2023,7,co operation food consumer protection secretariat,"Co-operation, Food and Consumer Protection Department, Secretariat",1.00
co operative milk producers federation,2015|2016|2017|2018|2020|2021|2022,7,co operative milk producers federation,Tamil Nadu Co-operative Milk Producers Federation,1.00
design research construction support,2016|2017|2018|2019|2020|2021|2022,7,design research construction support,Design Research and Construction Support Department,1.00
entrepreneurship development innovation institute,2017|2018|2019|2020|2021|2022|2023,7,entrepreneurship development innovation institute,Tamil Nadu Entrepreneurship Development and Innovation Institute,1.00
for welfare differently abled,2016|2017|2018|2019|2020|2021|2022,7,for welfare differently abled,Commissionerate for the Welfare of Differently Abled,1.00
horticulture plantation crops,2015|2016|2018|2019|2020|2021|2022,7,horticulture plantation crops,Directorate of Horticulture and Plantation Crops,1.00
indian medicine homoeopathy,2015|2016|2017|2018|2019|2020|2021,7,indian medicine homoeopathy,Directorate of Indian Medicine and Homoeopathy,1.00
industries secretariat,2015|2016|2017|2018|2019|2020|2021,7,industries secretariat,"Industries Department, Secretariat",1.00
information public relations,2016|2017|2018|2019|2020|2022|2023,7,information public relations,Directorate of Information and Public Relations,1.00
institute for water studies,2016|2017|2018|2019|2020|2021|2022,7,institute for water studies,Institute for Water Studies,1.00
madurai bench madras high court madurai,2015|2016|2017|2018|2019|2020|2021,7,madurai bench madras high court madurai,"Madurai Bench of Madras High Court, Madurai",1.00
medical rural health services esi,2015|2016|2017|2021|2022|2023,7,medical rural health services esi,Directorate of Medical and Rural Health Services (ESI),1.00
micro small medium enterprises secretariat,2016|2017|2018|2019|2020|2021|2022,7,micro small medium enterprises secretariat,"Micro, Small and Medium Enterprises Department, Secretariat",1.00
minerals,2015|2016|2017|2018|2020|2021|2022,7,minerals,"Tamil Nadu Minerals Ltd.,",1.00
most backward classes denotified communities welfare,2015|2016|2017|2018|2019|2020|2021,7,most backward classes denotified communities welfare,Most Backward Classes & Denotified Communities Welfare,1.00
motor vehicles maintenance,2015|2016|2017|2018|2020|2021|2022,7,motor vehicles maintenance,"Motor Vehicles & Maintenance Department, Chennai",1.00
municipal administration,2015|2018|2019|2020|2021|2022|2023,7,municipal administration water supply secretariat,"Municipal Administration and Water Supply Department, Secretariat",0.90
museum,2015|2016|2017|2018|2019|2020|2021,7,museum,Directorate of Museum,1.00
nonformal adult education,2015|2016|2017|2018|2019|2020|2021,7,nonformal adult education,Nonformal & Adult Education,1.00
operation maintenance,2016|2017|2018|2019|2020|2021|2022,7,operation maintenance,Operation and Maintenance,1.00
plan formulation,2016|2017|2018|2019|2020|2021|2022,7,plan formulation,Plan Formulation Department,1.00
police,2015|2016|2017|2020|2021|2022|2023,7,police,Police Department,1.00
prohibition excise,2015|2016|2017|2020|2021|2022|2023,7,prohibition excise,Home Department Prohibition and Excise Wing,1.00
public works secretariat,2015|2016|2017|2018|2020|2022|2023,7,public works secretariat,"Public Works Department, Secretariat",1.00
registrar co operative societies housing,2015|2016|2017|2020|2021|2022|2023,7,registrar co operative societies,Registrar of Co-operative Societies,0.90
social defence,2016|2017|2018|2019|2020|2021|2022,7,social defence,Commissionerate of Social Defence,1.00
special area development programme,2017|2018|2019|2020|2021|2022|2023,7,special area development programme,Special Area Development and Programme,1.00
state apex fisheries co operative federation,2015|2016|2017|2018|2020|2021|2022,7,state apex fisheries co operative federation,Tamil Nadu State Apex Fisheries Co-operative Federation,1.00
