name_norm,years,n_rows,key,canonical,score
ofadi dravidar welfare,2015,1,adi dravidar welfare,Directorate of Adi Dravidar Welfare,0.95
ofagriculture,2015,1,ofagriculture,Commissionerate ofAgriculture,1.00
ofenvironment,2015,1,environment,Directorate of Environment,0.92
operation food nsumer protection partment secretariat,2019,1,co operation food consumer protection secretariat,"Co-operation, Food and Consumer Protection Department, Secretariat",0.86
personnel administrative reforms training secretariat,2020,1,personnel administrative reforms secretariat,"Personnel and Administrative Reforms Department, Secretariat",0.91
personnel administrative reformsdepartment secretariat,2015,1,personnel administrative reforms secretariat,"Personnel and Administrative Reforms Department, Secretariat",0.90
plan formuation,2015,1,plan formulation,Plan Formulation Department,0.97
prohibition excise police,2018,1,prohibition excise,Home Department Prohibition and Excise Wing,0.90
public works water resources secretariat,2021,1,water resources secretariat,"Water Resources Department, Secretariat",0.90
quality control pwd,2022,1,quality control pwd,"Quality Control, PWD",1.00
rector medical ral health services si,2019,1,director medical rural health services,Director of Medical and Rural Health Services,0.91
rector public health d preventive medicine,2019,1,public health preventive medicine,Public Health and Preventive Medicine,0.88
rectorate adidravidar elfare,2019,1,rectorate adidravidar elfare,rectorate of AdiDravidar elfare,1.00
rectorate collegiate ucation,2019,1,rectorate collegiate ucation,rectorate of Collegiate ucation,1.00
rectorate pension,2019,1,rectorate pension,rectorate of Pension,1.00
rectorate tribal elfare,2019,1,ectorate tribal welfare,ectorate of Tribal Welfare,0.96
region,2015,1,region,Chennai Region,1.00
registrar agricultural university coimbatore,2023,1,agricultural university,Tamil Nadu Agricultural University,0.90
relations,2021,1,information public relations,Directorate of Information and Public Relations,0.90
revenue d m mitigation,2021,1,revenue d m mitigation,Commissionerate of Revenue D.M. and Mitigation,1.00
revenue disaster management,2021,1,revenue disaster management secretariat,"Revenue and Disaster Management Department, Secretariat",0.90
revenue disaster management doss,2023,1,revenue disaster management doss,"Revenue and Disaster Management Department, DOSS",1.00
revenue secretariat,2015,1,revenue secretariat,"Revenue Department, Secretariat",1.00
road development companyltd,2022,1,road development company,Tamil Nadu Road Development Company Ltd.,0.94
road infrastructure development company,2021,1,road infrastructure development,Tamil Nadu Road Infrastructure Development Corporation,0.90
se p d circle pwd,2022,1,se p d circle pwd,"SE (P&D) Circle, PWD",1.00
secretariat,2020,1,backward classes most backward classes minorities welfare secretariat,Directorate of Minorities Welfare,0.90
services esi,2020,1,medical rural health services esi,Directorate of Medical and Rural Health Services (ESI),0.90
sgswrdc,2015,1,sgswrdc,SGSWRDC,1.00
startup innovation mission tansim,2023,1,startup innovation mission tansim,Tamil Nadu Startup and Innovation Mission (TANSIM),1.00
state agri marketing board,2022,1,state agri marketing board,Tamil Nadu State Agri Marketing Board,1.00
state agricultural marketing board,2021,1,state agri marketing board,Tamil Nadu State Agri Marketing Board,0.87
state blindness control society,2022,1,state blindness control society,Tamil Nadu State Blindness Control Society,1.00
state cooperative socities election commission,2022,1,state cooperative socities election commission,Tamil Nadu State Cooperative Socities Election Commission,1.00
state express transport ch,2023,1,state express transport,"State Express Transport Corporation, Chennai",0.94
state guest house chepauk 5,2015,1,state guest house,State Guest House,0.90
state marketing excise,2023,1,state marketing,Tamil Nadu State Marketing Corporation Limited,0.90
state water resources management agency,2022,1,state water resources management agency wrd taramani,"State Water Resources Management Agency WRD,Taramani,Chennai",0.90
state wetland authority,2023,1,state wetland authority,Tamil Nadu State Wetland Authority,1.00
super intending e p d circle,2023,1,super intending e p d circle,Super intending E (P&D) Circle,1.00
tamilnadufibre net tanfinet,2019,1,tamilnadufibre net tanfinet,TamilnaduFibre Net Corporation Ltd. (TANFINET),1.00
tamilnaduvanniyakula kshatriya cblic charitable trusts endowments boards,2019,1,tamilnaduvanniyakula kshatriya cblic charitable trusts endowments boards,TamilnaduVanniyakula Kshatriya cblic charitable trusts and endowments Boards,1.00
textilesand khadi secretariat handlooms textiles,2015,1,handlooms textiles,Directorate of Handlooms and Textiles,0.90
tidel park,2023,1,tidel park,"TIDEL Park Ltd..,",1.00
titute road ansport,2019,1,institute road transport,"Institute of Road Transport, Chennai",0.88
tn aids control society,2023,1,aids control society,Tamil Nadu AIDS Control Society,0.93
tn co operative milk producers federation,2023,1,co operative milk producers federation,Tamil Nadu Co-operative Milk Producers Federation,0.96
tn dr j jayalalitha fisheries university,2023,1,dr j jayalalitha fisheries university,Tamil Nadu Dr.J.Jayalalitha Fisheries University,0.96
tn fisheries development,2023,1,fisheries development,Tamil Nadu Fisheries Development Corporation,0.93
tn health systems project,2023,1,health systems project,Tamil Nadu Health Systems Project,0.94
tn livestock development agency,2023,1,livestock development agency,Tamil Nadu Livestock Development Agency,0.95
tn medical plant farms herbal medical,2023,1,medical plant,Tamil Nadu Medical Plant Corporation Limited,0.90
tn medical services lmtd,2023,1,medical services,Tamil Nadu Medical Services Corporation Limited,0.90
tn state apex fisheries co operative federation,2023,1,state apex fisheries co operative federation,Tamil Nadu State Apex Fisheries Co-operative Federation,0.97
tn state blindness control society,2023,1,state blindness control society,Tamil Nadu State Blindness Control Society,0.95
tn state health transport,2023,1,state health transport,Tamil Nadu State Health Transport Department,0.94
tn state transport coimbatore,2023,1,state transport coimbatore,"Tamil Nadu State Transport Corporation (Coimbatore) Ltd.,",0.95
tn state transport kumbakonam,2023,1,state transport kumbakonam,"Tamil Nadu State Transport Corporation (Kumbakonam) Ltd.,",0.95
tn state transport madurai,2023,1,state transport madurai,"Tamil Nadu State Transport Corporation (Madurai) Ltd.,",0.94
tn state transport salem,2023,1,state transport salem,"Tamil Nadu State Transport Corporation (Salem), Ltd.,",0.93
tn state transport tirunelveli,2023,1,state transport tirunelveli,"Tamil Nadu State Transport Corporation (Tirunelveli) Ltd.,",0.95
tn state transport villupuram,2023,1,state transport villupuram,"Tamil Nadu State Transport Corporation (Villupuram) Ltd.,",0.95
tn veterinary animal sciences university,2023,1,veterinary animal sciences university,Tamil Nadu Veterinary and Animal Sciences University,0.96
tor vehicles intenance ennai,2019,1,tor vehicles intenance ennai,"tor Vehicles & intenance Department, ennai",1.00
transport commissioner,2015,1,transport commissioner,Transport Commissioner,1.00
trichy region,2015,1,chief engineer trichy region,Chief Engineer Trichy Region,0.90
university watershed development agency,2018,1,watershed development agency,Tamil Nadu Watershed Development Agency,0.90
uvery technical cell,2019,1,cauvery technical cell,Cauvery Technical Cell,0.95
vanniyakula kshatriya cbilic chartitable trusts endowments boards,2020,1,tamilnaduvanniyakula kshatriya cblic charitable trusts endowments boards,TamilnaduVanniyakula Kshatriya cblic charitable trusts and endowments Boards,0.92
vanniyakula kshatriya charitable trust endowments board,2022,1,tamilnaduvanniyakula kshatriya cblic charitable trusts endowments boards,TamilnaduVanniyakula Kshatriya cblic charitable trusts and endowments Boards,0.87
vanniyakula kshatriya public charitable trust endowments board,2023,1,tamilnaduvanniyakula kshatriya cblic charitable trusts endowments boards,TamilnaduVanniyakula Kshatriya cblic charitable trusts and endowments Boards,0.90
vanniyakula kshatriya public chartitable trust endowment board,2021,1,tamilnaduvanniyakula kshatriya cblic charitable trusts endowments boards,TamilnaduVanniyakula Kshatriya cblic charitable trusts and endowments Boards,0.88
vironment rests secretariat,2019,1,vironment rests secretariat,"vironment and rests, Secretariat",1.00
water resources,2021,1,water resources coimbatore region,"Water Resources Department, Coimbatore Region",0.90
water resources development cell,2020,1,water resources development cell,Tamil Nadu Water Resources Development Cell.,1.00
welfare differently abled,2023,1,for welfare differently abled,Commissionerate for the Welfare of Differently Abled,0.93
wrd,2015,1,wrd,WRD,1.00
